MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage_NaN,MasVnrArea_NaN,GarageYrBlt_NaN,YearBuilt_diff,YearRemodAdd_diff,GarageYrBlt_diff,SalePrice
60,4,4.174387269895637,9.04192172035122,1,3,3,1,4,2,21,5,1,4,4,7,5,2003,2003,2,1,10,10,2,196.0,2,3,4,2,3,3,4,706,5,0,150,856,2,4,1,3,6.752270376141742,854,0,7.444248649496705,1,0,2,1,3,1,2,8,4,0,4,4,2003,1,2,548,2,2,2,0,61,0,0,0,0,0,2,2008,3,4,0,0,0,5,5,5,208500
20,4,4.382026634673881,9.169518377455928,1,3,3,1,1,2,3,4,1,4,5,6,8,1976,1976,2,1,8,9,3,0.0,3,3,3,2,3,1,3,978,5,0,284,1262,2,4,1,3,7.140453043101158,0,0,7.140453043101158,0,1,2,0,3,1,3,6,4,1,3,4,1976,1,2,460,2,2,2,298,0,0,0,0,0,0,5,2007,3,4,0,0,0,31,31,31,181500
60,4,4.219507705176107,9.328123407632566,1,2,3,1,4,2,21,5,1,4,4,7,5,2001,2002,2,1,10,10,2,162.0,2,3,4,2,3,0,4,486,5,0,434,920,2,4,1,3,6.824373670043086,866,0,7.487733761436444,1,0,2,1,3,1,2,6,4,1,3,4,2001,1,2,608,2,2,2,0,42,0,0,0,0,0,9,2008,3,4,0,0,0,7,6,7,223500
70,4,4.0943445622221,9.164296433474776,1,2,3,1,3,2,11,5,1,4,4,7,5,1915,1970,2,1,7,4,3,0.0,3,3,2,3,2,3,3,216,5,0,540,756,2,2,1,3,6.8679744089702925,756,0,7.448333860897476,1,0,1,0,3,1,2,7,4,1,4,3,1998,2,3,642,2,2,2,0,35,272,0,0,0,0,2,2006,3,2,0,0,0,91,36,8,140000
60,4,4.430816798843313,9.565213693968287,1,2,3,1,1,2,9,5,1,4,4,8,5,2000,2000,2,1,10,10,2,350.0,2,3,4,2,3,2,4,655,5,0,490,1145,2,4,1,3,7.0431599159883405,1053,0,7.6953031349635665,1,0,2,1,4,1,2,9,4,1,3,4,2000,1,3,836,2,2,2,192,84,0,0,0,0,0,12,2008,3,4,0,0,0,8,8,8,250000
50,4,4.442651256490317,9.55499334068759,1,2,3,1,4,2,10,5,1,4,3,5,5,1993,1995,2,1,10,10,3,0.0,3,3,0,2,3,3,4,732,5,0,64,796,2,4,1,3,6.679599185844383,566,0,7.216709486709457,1,0,1,1,1,1,3,5,4,0,4,4,1993,2,2,480,2,2,2,40,30,0,320,0,0,700,10,2009,3,4,0,0,0,16,14,16,143000
20,4,4.31748811353631,9.218705288307811,1,3,3,1,4,2,18,5,1,4,5,8,5,2004,2005,2,1,10,10,1,186.0,2,3,4,1,3,2,4,1369,5,0,317,1686,2,4,1,3,7.434847875211999,0,0,7.434847875211999,1,0,2,0,3,1,2,7,4,1,4,4,2004,1,2,636,2,2,2,255,57,0,0,0,0,0,8,2007,3,4,0,0,0,3,2,3,307000
60,4,4.0943445622221,9.247828816387177,1,2,3,1,3,2,14,0,1,4,4,7,6,1973,1973,2,1,9,8,1,240.0,3,3,3,2,3,0,3,859,2,32,216,1107,2,4,1,3,7.009408932708637,983,0,7.644919344958857,1,0,2,1,3,1,3,7,4,2,3,4,1973,1,2,484,2,2,2,235,204,228,0,0,0,350,11,2009,3,4,1,0,0,36,36,36,200000
50,3,3.9318256327243257,8.719317375506371,1,3,3,1,4,2,20,3,1,4,3,7,5,1931,1950,2,1,4,4,3,0.0,3,3,2,3,3,3,5,0,5,0,952,952,2,2,1,1,6.92951677076365,752,0,7.480992162869525,0,0,2,0,2,2,3,8,2,2,3,3,1931,2,2,468,1,2,2,90,0,205,0,0,0,0,4,2008,3,2,0,0,0,77,58,77,129900
190,4,3.912023005428146,8.911934336161426,1,3,3,1,3,2,12,3,0,0,0,5,6,1939,1950,2,1,8,9,3,0.0,3,3,2,3,3,3,4,851,5,0,140,991,2,4,1,3,6.981934677156389,0,0,6.981934677156389,1,0,1,0,2,2,3,5,4,2,3,4,1939,1,1,205,0,2,2,0,4,0,0,0,0,0,1,2008,3,4,0,0,0,69,58,69,118000
